Playlist_ID,timestamp,user_id,track_id,listening_duration
NM,11:54,regina,falz,750
BP,7:30,qi,TLC,780
NI,9:45,marit,korede,420
QB,3:35,tenele,rihanna,677
KJ,4:40,ebehi,kari,500
NG,7:04,kobe,lara,834
FJ,1:00,kevin,wasiu,100
FJ,3:35,kobe,wasiu,368
NM,4:40,kevin,wizkid,600
BP,7:04,regina,destinyschild,546
NI,1:00,tenele,burnaboy,10
NM,3:35,marit,psquare,540
NG,4:40,kevin,midnight,500
FJ,7:04,yoonhee,pasuma,600
NM,1:00,qi,wizkid,600
BP,3:35,kevin,brittany,890
NG,4:40,jason,midnight,657
BP,7:04,amy,brittany,500
NI,1:00,kobe,reekado,701
KJ,3:35,tenele,kari,503
NG,4:40,regina,midnight,657
NM,7:04,marit,falz,700
NG,1:00,yoonhee,lara,600
NI,3:35,marit,donjazzy,5
QB,4:40,kobe,rihanna,300
NM,7:04,qi,flavour,200
NM,1:00,jason,psquare,50
NM,3:35,kobe,tiwasavage,510
NM,4:40,kevin,falz,750
NM,11:54,amy,falz,750
FJ,7:30,yoonhee,wasiu,300
NI,9:45,ebehi,korede,423
QB,4:40,marit,beyonce,344
KJ,7:04,qi,kari,504
NG,1:00,saket,benita,20
NG,3:35,marit,lara,834
BP,4:40,yoonhee,brittany,889
NM,11:54,amy,simi,150
QB,7:30,tenele,rihanna,677
